"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14303197","JK384880","2026-08-23T23:47:00.000","036XX W FIFTH AVE","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","CHA PARKING LOT / GROUNDS","true","false","1133","011","28","27","15","1151985","1897719","2026","2026-08-31T15:53:00.000","41.875211896","-87.717438874","
,  
(41.875211896, -87.717438874)"
"14303073","JK384875","2026-08-23T23:45:00.000","036XX N PINE GROVE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1925","019","46","6","14","1171288","1924505","2026","2026-08-31T15:53:00.000","41.948312144","-87.645777826","
,  
(41.948312144, -87.645777826)"
"14303626","JK385605","2026-08-23T23:37:00.000","008XX E 65TH ST","0810","THEFT","OVER $500","ALLEY","false","false","0312","003","20","42","06","1183148","1862099","2026","2026-08-31T15:53:00.000","41.776797552","-87.604131898","
,  
(41.776797552, -87.604131898)"
"14303140","JK384893","2026-08-23T23:35:00.000","048XX N DAMEN AVE","0460","BATTERY","SIMPLE","SIDEWALK","false","false","2032","020","47","4","08B","1162138","1932063","2026","2026-08-31T15:53:00.000","41.969248155","-87.679199169","
,  
(41.969248155, -87.679199169)"
"14303065","JK384842","2026-08-23T23:34:00.000","002XX W 103RD ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","GAS STATION","true","false","0511","005","9","49","15","1176618","1836644","2026","2026-08-31T15:53:00.000","41.707095328","-87.628834415","
,  
(41.707095328, -87.628834415)"
"14304914","JK386856","2026-08-23T23:30:00.000","041XX W 78TH PL","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","0834","008","18","70","08B","1150105","1852074","2026","2026-08-31T15:53:00.000","41.749992292","-87.725526868","
,  
(41.749992292, -87.725526868)"
"14304167","JK386233","2026-08-23T23:30:00.000","020XX N CLARK ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","1814","018","43","7","08B","1173986","1913691","2026","2026-08-31T15:53:00.000","41.918578314","-87.636183854","
,  
(41.918578314, -87.636183854)"
"14303063","JK384852","2026-08-23T23:23:00.000","043XX W CERMAK RD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1012","010","24","29","08B","1147831","1889020","2026","2026-08-31T15:53:00.000","41.851421554","-87.732914213","
,  
(41.851421554, -87.732914213)"
"14303134","JK384864","2026-08-23T23:23:00.000","054XX W HIRSCH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","2532","025","37","25","08B","1139884","1908785","2026","2026-08-31T15:53:00.000","41.905808054","-87.761598751","
,  
(41.905808054, -87.761598751)"
"14303132","JK384829","2026-08-23T23:22:00.000","065XX S PROMONTORY DR","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","PARK PROPERTY","true","false","0331","003","5","42","15","1192337","1862034","2026","2026-08-31T15:53:00.000","41.776400433","-87.570448042","
,  
(41.776400433, -87.570448042)"
"14303162","JK384895","2026-08-23T23:22:00.000","065XX S PROMONTORY DR","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","PARK PROPERTY","false","false","0331","003","5","42","15","1192337","1862034","2026","2026-08-31T15:53:00.000","41.776400433","-87.570448042","
,  
(41.776400433, -87.570448042)"
"14306943","JK389846","2026-08-23T23:20:00.000","001XX N MICHIGAN AVE","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","STREET","false","false","0114","001","34","32","11","1177269","1901590","2026","2026-08-31T15:53:00.000","41.88529876","-87.624489335","
,  
(41.88529876, -87.624489335)"
"14303044","JK384844","2026-08-23T23:20:00.000","070XX S LOWE AVE","0484","BATTERY","PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY","APARTMENT","false","false","0732","007","6","68","08B","1173186","1858153","2026","2026-08-31T15:53:00.000","41.766195265","-87.64076851","
,  
(41.766195265, -87.64076851)"
"14303087","JK384899","2026-08-23T23:15:00.000","039XX W DIVERSEY AVE","031A","ROBBERY","ARMED - HANDGUN","SIDEWALK","false","false","2524","025","35","22","03","1149822","1918331","2026","2026-08-31T15:53:00.000","41.931815594","-87.724843794","
,  
(41.931815594, -87.724843794)"
"14303043","JK384839","2026-08-23T23:14:00.000","109XX S STATE ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","0513","005","9","49","14","1178193","1832512","2026","2026-08-31T15:53:00.000","41.695721037","-87.623191571","
,  
(41.695721037, -87.623191571)"
"14303079","JK384843","2026-08-23T23:12:00.000","002XX W GARFIELD BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","CTA TRAIN","false","true","0935","009","20","37","08B","1175647","1868500","2026","2026-08-31T15:53:00.000","41.794533814","-87.631438536","
,  
(41.794533814, -87.631438536)"
"14303038","JK384826","2026-08-23T23:12:00.000","079XX S RICHMOND ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","SIDEWALK","true","false","0835","008","18","70","15","1158091","1851856","2026","2026-08-31T15:53:00.000","41.74923553","-87.696268305","
,  
(41.74923553, -87.696268305)"
"14303074","JK384848","2026-08-23T23:09:00.000","009XX W GORDON TER","0486","BATTERY","DOMESTIC BATTERY SIMPLE","NURSING / RETIREMENT HOME","false","true","1915","019","46","3","08B","1169173","1927808","2026","2026-08-31T15:53:00.000","41.957421993","-87.653455761","
,  
(41.957421993, -87.653455761)"
"14303022","JK384825","2026-08-23T23:08:00.000","028XX W OGDEN AVE","0460","BATTERY","SIMPLE","STREET","true","false","1022","010","24","29","08B","1157742","1892610","2026","2026-08-31T15:53:00.000","41.861076976","-87.696440558","
,  
(41.861076976, -87.696440558)"
"14303052","JK384856","2026-08-23T23:07:00.000","008XX E 79TH ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","GAS STATION","true","false","0624","006","8","69","15","1183364","1852811","2026","2026-08-31T15:53:00.000","41.751305337","-87.603628907","
,  
(41.751305337, -87.603628907)"
"14303192","JK384991","2026-08-23T23:04:00.000","002XX W 24TH PL","0460","BATTERY","SIMPLE","RESTAURANT","false","false","0914","009","11","34","08B","1175093","1888066","2026","2026-08-31T15:53:00.000","41.848237048","-87.632885125","
,  
(41.848237048, -87.632885125)"
"14303053","JK384838","2026-08-23T23:01:00.000","001XX E CHESTNUT ST","1330","CRIMINAL TRESPASS","TO LAND","PARKING LOT / GARAGE (NON RESIDENTIAL)","true","false","1833","018","42","8","26","1177081","1906353","2026","2026-08-31T15:53:00.000","41.89837293","-87.625035314","
,  
(41.89837293, -87.625035314)"
"14309483","JK393241","2026-08-23T23:00:00.000","074XX N HOYNE AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","false","2424","024","49","1","08A",,,"2026","2026-08-31T15:53:00.000",,,
"14303822","JK385847","2026-08-23T23:00:00.000","007XX S INDEPENDENCE BLVD","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","APARTMENT","false","false","1133","011","24","26","26","1151209","1896597","2026","2026-08-31T15:53:00.000","41.872148247","-87.720317478","
,  
(41.872148247, -87.720317478)"
"14303665","JK385606","2026-08-23T23:00:00.000","120XX S PARNELL AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0523","005","21","53","06","1174805","1825136","2026","2026-08-31T15:53:00.000","41.675556132","-87.635814838","
,  
(41.675556132, -87.635814838)"
"14304349","JK386508","2026-08-23T23:00:00.000","055XX W WEST END AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1523","015","37","25","07","1139352","1900926","2026","2026-08-31T15:53:00.000","41.884251707","-87.763744657","
,  
(41.884251707, -87.763744657)"
"14303753","JK385497","2026-08-23T23:00:00.000","072XX S STONY ISLAND AVE","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT","false","false","0324","003","7","43","05","1188059","1857479","2026","2026-08-31T15:53:00.000","41.764004198","-87.586275721","
,  
(41.764004198, -87.586275721)"
"14303066","JK384819","2026-08-23T23:00:00.000","028XX W 59TH ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","SIDEWALK","true","false","0824","008","15","63","15","1158637","1865403","2026","2026-08-31T15:53:00.000","41.786399399","-87.693898477","
,  
(41.786399399, -87.693898477)"
"14303245","JK385076","2026-08-23T23:00:00.000","045XX N DRAKE AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1723","017","33","14","06","1151904","1929910","2026","2026-08-31T15:53:00.000","41.963548429","-87.716886677","
,  
(41.963548429, -87.716886677)"
"14303894","JK385831","2026-08-23T23:00:00.000","041XX W NORTH AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","2534","025","26","23","08B","1148674","1910317","2026","2026-08-31T15:53:00.000","41.909846709","-87.729270003","
,  
(41.909846709, -87.729270003)"
"14303168","JK384830","2026-08-23T22:56:00.000","006XX N PULASKI RD","0460","BATTERY","SIMPLE","SIDEWALK","false","false","1111","011","37","23","08B","1149617","1903766","2026","2026-08-31T15:53:00.000","41.891851825","-87.725976161","
,  
(41.891851825, -87.725976161)"
"14303186","JK384860","2026-08-23T22:55:00.000","050XX S ASHLAND AVE","0461","BATTERY","AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY","SIDEWALK","false","false","0931","009","20","61","04B","1166524","1871398","2026","2026-08-31T15:53:00.000","41.802685798","-87.664809681","
,  
(41.802685798, -87.664809681)"
"14303072","JK384831","2026-08-23T22:50:00.000","035XX N CLARK ST","0460","BATTERY","SIMPLE","STREET","false","false","1924","019","44","6","08B","1168675","1923578","2026","2026-08-31T15:53:00.000","41.945825535","-87.655409564","
,  
(41.945825535, -87.655409564)"
"14303068","JK384827","2026-08-23T22:50:00.000","049XX N KILPATRICK AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true","1712","017","39","14","08B","1144970","1932650","2026","2026-08-31T15:53:00.000","41.971201261","-87.742311456","
,  
(41.971201261, -87.742311456)"
"14303070","JK384857","2026-08-23T22:43:00.000","008XX W WELLINGTON AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1933","019","44","6","14","1169981","1920130","2026","2026-08-31T15:53:00.000","41.936335635","-87.650710119","
,  
(41.936335635, -87.650710119)"
