S. No,53 Metropolitan Cities,Theft - No. of cases in which property was stolen,Theft - Value of Property Stolen (in Crores),Theft - Number of cases in which property was recovered - Out of Cases from Previous Years,Theft - Number of cases in which property was recovered - From Cases Reported during the Year,Theft - Number of cases in which property was recovered - Total Cases,Theft - Value of Property Recovered - Total Cases,Burglary - No. of cases in which property was stolen - Total Cases,Burglary - Value of Property Stolen (in Crores) - Total Cases,Burglary - Number of cases in which property was recovered - Out of Cases from Previous Years,Burglary - Number of cases in which property was recovered - From Cases Reported during the Year,Burglary - Number of cases in which property was recovered - Total Cases,Burglary - Value of Property Recovered - Total Cases,Robbery - No. of cases in which property was stolen - Total Cases,Robbery - Value of Property Stolen (in Crores) - Total Cases,Robbery - Number of cases in which property was recovered - Out of Cases from Previous Years,Robbery - Number of cases in which property was recovered - From Cases Reported during the Year,Robbery - Number of cases in which property was recovered - Total Cases,Robbery - Value of Property Recovered - Total Cases,Dacoity - No. of cases in which property was stolen - Total Cases,Dacoity - Value of Property Stolen (in Crores) - Total Cases,Dacoity - Number of cases in which property was recovered - Out of Cases from Previous Years,Dacoity - Number of cases in which property was recovered - From Cases Reported during the Year,Dacoity - Number of cases in which property was recovered - Total Cases,Dacoity - Value of Property Recovered - Total Cases,Other Offences not included above - No. of cases in which property was stolen - Total Cases,Other Offences not included above - Value of Property Stolen (in Crores) - Total Cases,Other Offences not included above - Number of cases in which property was recovered - Out of Cases from Previous Years,Other Offences not included above - Number of cases in which property was recovered - From Cases Reported during the Year,Other Offences not included above - Number of cases in which property was recovered - Total Cases,Other Offences not included above - Value of Property Recovered - Total Cases,Total - No. of cases in which property was stolen - Total Cases,Total - Value of Property Stolen (in Crores) - Total Cases,Total - Number of cases in which property was recovered - Out of Cases from Previous Years,Total - Number of cases in which property was recovered - From Cases Reported during the Year,Total - Number of cases in which property was recovered - Total Cases,Total - Value of Property Recovered - Total Cases
26,Kolkata,958,3.1417356,185,788,973,2.4408013,8,1.23179,2,8,10,1.0638186,14,0.113311,4,9,13,0.1052173,2,1.3074136,1,2,3,1.0562456,0,0,0,0,0,0,982,5.7942502,192,807,999,4.6660828
27,Kollam,312,3.5711864,0,125,125,0.767837,113,1.0854474,0,28,28,0.1070563,35,0.17237,0,11,11,0.04618,0,0,0,0,0,0,0,0,0,0,0,0,460,4.8290038,0,164,164,0.9210733
28,Kota,1555,8.4080557,24,292,316,3.298273,79,1.08435,2,18,20,0.24763,36,0.133665,0,30,30,0.08046,3,0.3256,0,3,3,0.1675,0,0,0,0,0,0,1673,9.9516707,26,343,369,3.793863
29,Kozhikode,294,2.7164652,14,92,106,0.603343,142,2.2860377,3,48,51,0.998045,59,0.356504,2,36,38,0.244033,4,0.03842,0,2,2,0.0334,2,0.2485,0,2,2,0.17285,501,5.6459269,19,180,199,2.051671
30,Lucknow,2454,6.7167466,419,1239,1658,5.2047274,452,4.377096,126,286,412,2.9596808,152,0.824,69,144,213,0.7568,1,0.006,1,1,2,0,0,0,0,0,0,0,3059,11.9238426,615,1670,2285,8.9212082
31,Ludhiana,1060,8.3959982,56,465,521,7.7310725,269,6.5411934,18,120,138,3.193912,9,0.3992,1,8,9,4.80774,2,8.54,0,2,2,7.31857,0,0,0,0,0,0,1340,23.8763916,75,595,670,23.0512945
32,Madurai,517,3.3047106,0,390,390,2.7149663,95,1.8224715,0,68,68,1.338215,140,0.513662,0,131,131,0.283729,3,0.00338,0,3,3,0.0002,0,0,0,0,0,0,755,5.6442241,0,592,592,4.3371103
33,Malappuram,75,0.78184,2,35,37,0.25126,61,1.1884824,0,29,29,0.5537625,5,0.0591999,0,3,3,0.036,5,0.598,0,4,4,0.338,2,0.0041,0,2,2,0.0041,148,2.6316223,2,73,75,1.1831225
34,Meerut,906,2.147995,0,352,352,0.99228,82,0.715539,0,65,65,0.467536,16,0.2661,0,16,16,0.21683,0,0,0,0,0,0,1,0.35,0,1,1,0.35,1005,3.479634,0,434,434,2.026646
35,Mumbai,9361,86.4454177,139,4125,4264,37.5955725,1302,30.2878114,13,857,870,15.9430314,758,14.2193247,5,687,692,11.4089785,25,6.1445715,1,21,22,5.190062,0,0,0,0,0,0,11446,137.0971253,158,5690,5848,70.1376444
36,Nagpur,3505,17.0164695,171,1058,1229,6.48982,914,14.9772312,45,290,335,3.8772763,233,1.3290895,14,162,176,0.745567,18,1.9186218,0,18,18,0.37387,1,0,0,1,1,0,4671,35.241412,230,1529,1759,11.4865333
37,Nasik,1398,10.0682779,29,309,338,14.757049,333,1.0735124,5,80,85,0.056986,267,1.2044076,26,113,139,0.291987,6,3.858265,1,6,7,0.0374,0,0,0,0,0,0,2004,16.2044629,61,508,569,15.143422
38,Patna,6573,14.7530227,62,102,164,0.3680961,318,2.2132826,9,62,71,0.4941605,94,0.0219263,13,32,45,0.0104966,5,0.0023523,3,1,4,0.0018818,0,0,0,0,0,0,6990,16.9905839,87,197,284,0.874635
39,Prayagraj,795,1.3141887,0,123,123,0.23131,144,0.920295,0,34,34,0.302585,10,0.1272,0,9,9,0.039525,0,0,0,0,0,0,0,0,0,0,0,0,949,2.3616837,0,166,166,0.57342
40,Pune,3568,25.1807473,20,767,787,7.6036802,609,24.2952238,1,198,199,3.1150547,349,2.4369475,3,158,161,1.2720783,34,0.20337,0,20,20,0.114158,0,0,0,0,0,0,4560,52.1162886,24,1143,1167,12.1049712
41,Raipur,1126,4.0042311,0,295,295,1.1428544,287,3.5114013,0,145,145,1.4051055,71,0.3712415,0,56,56,0.254528,4,0.28454,0,4,4,0.0281748,0,0,0,0,0,0,1488,8.1714139,0,500,500,2.8306627
42,Rajkot,1141,4.1925239,25,462,487,1.6130985,215,3.6847415,9,108,117,1.7094231,19,0.4866214,1,17,18,0.4455313,6,0.22259,0,3,3,0.02434,0,0,0,0,0,0,1381,8.5864768,35,590,625,3.7923929
43,Ranchi,1770,3.262287,0,204,204,0.682584,259,0.5435633,0,12,12,0.025266,59,0.0758917,0,14,14,0.0175462,4,0.207392,0,2,2,0.1125625,0,0,0,0,0,0,2092,4.089134,0,232,232,0.8379587
44,Srinagar,196,1.1047015,11,185,196,0.70133,194,0.7028389,4,190,194,0.054556,20,0.03363,5,15,20,0.01233,1,0,0,1,1,0,0,0,0,0,0,0,411,1.8411704,20,391,411,0.768216
45,Surat,2270,124.8849496,187,1456,1643,5.5225166,276,4.0807883,43,194,237,1.5678532,37,0.90246,5,29,34,0.79567,7,5.116791,0,5,5,4.807033,0,0,0,0,0,0,2590,134.9849889,235,1684,1919,12.6930728
46,Thiruvananthapuram,272,1.945055,9,120,129,0.818546,109,0.651099,1,32,33,0.236956,60,0.545328,4,22,26,0.349432,2,0.0245891,0,2,2,0.0245891,0,0,0,0,0,0,443,3.1660711,14,176,190,1.4295231
47,Thrissur,395,2.8916686,5,251,256,1.6904927,149,2.310186,0,65,65,1.1418305,62,0.38543,0,51,51,0.28068,6,2.51197,0,4,4,0.19335,1,0.04635,0,1,1,0.04635,613,8.1456046,5,372,377,3.3527032
48,Tiruchirapalli,337,1.2695294,5,215,220,0.924407,82,0.9693348,12,62,74,0.7483833,80,0.685875,3,71,74,0.506143,0,0,0,0,0,0,0,0,0,0,0,0,499,2.9247392,20,348,368,2.1789333
49,Vadodara,912,7.3347718,10,362,372,2.2842906,198,4.777586,0,67,67,1.6884007,7,0.025627,0,7,7,0.008007,2,0.0288,0,1,1,0,0,0,0,0,0,0,1119,12.1667848,10,437,447,3.9806983
50,Varanasi,484,2.2111431,0,308,308,1.3048931,159,1.909106,0,79,79,1.437206,13,0.543988,1,13,14,0.527988,3,0.19769,0,3,3,0.19769,1,0.019,0,1,1,0.0173,660,4.8809271,1,404,405,3.4850771
51,Vasai Virar,1172,6.6880906,4,613,617,3.0916885,393,2.7686863,2,254,256,0.9828919,145,0.9319033,0,104,104,0.7301483,3,0.21,0,1,1,0.006,0,0,0,0,0,0,1713,10.5986802,6,972,978,4.8107287
52,Vijayawada,895,6.2635515,531,611,1142,8.3774051,173,2.530203,148,101,249,3.100808,18,0.084275,38,16,54,0.174626,0,0,0,0,0,0,1,0.003,2,1,3,0.0426,1087,8.8810295,719,729,1448,11.6954391
53,Vishakhapatnam,504,3.4862433,53,334,387,2.1044322,172,1.8010466,17,125,142,0.842252,2,0.1515,0,2,2,0.15145,0,0,0,0,0,0,3,0.01825,0,3,3,0.01825,681,5.4570399,70,464,534,3.1163842
,Total Cities ,331187,1277.2123346,4081,55153,59234,353.9196991,22451,319.738046,723,7804,8527,119.632088,6983,73.5650241,340,5062,5402,50.81696,329,58.9597666,8,248,256,28.7115082,1684,34.2622724,36,416,452,5.9138406,362634,1763.7374437,5188,68683,73871,558.9940959
